QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_
20151,2792245,5,101,1,200,D,12,D,67,E
20151,2792245,5,203,1,200,D,12,D,63,E
20151,2792525,4,4,1,200,D,11,D,114,E
20151,2792525,5,4,1,200,D,12,D,1123,E
20151,2792815,7,0,1,200,D,11,D,2,D
20151,2793255,5,0,1,200,D,1,D,48,D
20151,2793475,7,0,2,200,D,11,D,42,D
20151,2793495,3,2,1,200,D,11,D,8,E
20151,2793645,4,0,1,200,D,11,D,22,D
20151,2793855,3,101,1,200,D,11,D,2,E
20151,2793855,3,201,1,200,D,11,D,16,E
20151,2794015,9,0,2,200,D,11,D,30,D
20151,2794105,1,0,1,200,D,12,D,20,D
20151,2794155,8,0,1,200,D,11,D,42,D
20151,2794165,7,0,1,200,D,12,D,38,D
20151,2794405,3,203,1,200,D,12,D,21,E
20151,2794975,2,1,1,200,D,12,D,950,E
20151,2795165,9,0,1,200,D,12,D,54,D
20151,2795365,2,102,1,200,D,11,D,17,E
20151,2795365,2,202,1,200,D,11,D,4,E
20151,2795365,2,301,1,200,D,11,D,18,E
20151,2795365,2,402,1,200,D,11,D,4,E
20151,2795455,5,0,1,200,D,11,D,15,D
20151,2795695,1,402,1,200,D,12,D,15,E
20151,2796605,1,0,1,200,D,1,D,25,D
20151,2796765,3,103,1,200,D,12,D,21,E
20151,2796945,4,0,1,200,D,1,D,9,D
20151,2797695,3,101,1,200,D,12,D,4,E
20151,2797695,3,201,1,200,D,12,D,8,E
20151,2798835,3,0,1,200,D,12,D,36,D
20151,2799095,3,0,1,200,D,12,D,5,D
20151,2799555,2,0,1,200,D,1,D,29,D
20151,2799695,1,102,1,200,D,12,D,78,E
20151,2799695,1,203,1,200,D,12,D,266,E
20151,2799815,2,0,1,200,D,12,D,21,D
20151,2799815,3,0,1,200,D,12,D,21,D
20151,2799815,4,0,1,200,D,12,D,21,D
20151,2799815,5,0,1,200,D,12,D,21,D
20151,2800125,6,0,1,200,D,12,D,6,D
20151,2800125,7,0,1,200,D,12,D,6,D
20151,2800125,8,0,1,200,D,12,D,6,D
20151,2800175,11,0,1,200,D,12,D,36,D
20151,2800335,3,101,1,200,D,12,D,39,E
20151,2800335,3,201,1,200,D,12,D,19,E
20151,2800485,1,103,1,200,D,12,D,157,E
20151,2800485,1,203,1,200,D,12,D,90,E
20151,2800545,2,2,1,200,D,12,D,20,E
20151,2800725,7,0,1,200,D,1,D,50,D
20151,2800805,1,3,1,200,D,12,D,51,E
20151,2801045,2,101,1,200,D,12,D,34,E
20151,2801045,2,202,1,200,D,12,D,8,E
20151,2801355,1,5,1,200,D,12,D,129,E
20151,2801575,7,0,1,200,D,12,D,37,D
20151,2801705,3,0,1,200,D,11,D,60,D
20151,2802075,4,0,1,200,D,12,D,.,H
20151,2802075,4,300,1,200,D,12,D,5,E
20151,2802075,4,400,1,200,D,12,D,6,E
20151,2802095,4,0,1,200,D,12,D,.,H
20151,2802095,4,100,1,200,D,12,D,36,E
20151,2802095,4,200,1,200,D,12,D,34,E
20151,2802345,4,0,1,200,D,12,D,38,D
20151,2802945,2,0,1,200,D,12,D,36,D
20151,2803415,7,0,1,200,D,12,D,56,D
20151,2804455,4,2,1,200,D,12,D,34,E
20151,2804505,2,5,1,200,D,1,D,76,E
20151,2804505,3,5,1,200,D,2,D,76,E
20151,2804505,4,5,1,200,D,12,D,76,E
20151,2804575,2,2,1,200,D,12,D,26,G
20151,2804575,3,7,2,200,D,12,D,24,G
20151,2805345,8,2,1,200,D,2,D,22,E
20151,2805385,5,3,1,200,D,12,D,40,E
20151,2805465,1,0,1,200,D,2,D,50,D
20151,2805815,1,0,1,200,D,1,D,45,D
20151,2806085,1,202,1,200,D,12,D,17,E
20151,2806085,1,402,1,200,D,12,D,14,E
20151,2806185,5,0,1,200,D,2,D,48,D
20151,2807025,3,0,1,200,D,1,D,30,D
20151,2807065,3,0,1,200,D,12,D,.,H
20151,2807065,3,100,1,200,D,12,D,19,E
20151,2807065,3,300,1,200,D,12,D,30,E
20151,2807065,3,400,1,200,D,12,D,26,E
20151,2807085,2,102,1,200,D,12,D,32,E
20151,2807085,2,202,1,200,D,12,D,16,E
20151,2807125,3,103,1,200,D,12,D,8,E
20151,2807125,5,101,2,200,D,12,D,4,E
20151,2807305,2,0,1,200,D,2,D,40,D
20151,2807505,1,0,1,200,D,1,D,16,D
20151,2807815,5,0,1,200,D,1,D,50,D
20151,2807955,3,202,1,200,D,12,D,53,E
20151,2807955,3,402,1,200,D,12,D,114,E
20151,2808285,3,0,1,200,D,12,D,16,D
20151,2808285,5,0,2,200,D,12,D,8,D
20151,2808385,4,0,1,200,D,1,D,20,D
20151,2808545,2,0,1,200,D,1,D,87,D
20151,2808865,1,202,1,200,D,12,D,5,E
20151,2809085,4,102,1,200,D,12,D,51,E
20151,2809085,4,203,1,200,D,12,D,37,E
20151,2810845,3,2,1,200,D,1,D,21,E
20151,2810945,3,301,1,200,D,2,D,18,E
20151,2810945,3,401,1,200,D,2,D,10,E
20151,2811145,4,4,2,200,D,12,D,13,E
20151,2811655,5,5,1,200,D,1,D,147,E
20151,2811815,2,0,1,200,D,12,D,30,D
20151,2811815,3,0,1,200,D,12,D,30,D
20151,2812285,1,0,1,200,D,2,D,31,D
20151,2812315,7,0,1,200,D,1,D,72,D
20151,2812435,2,0,1,200,D,1,D,133,D
20151,2812735,4,0,1,200,D,1,D,53,D
20151,2812955,6,0,1,200,D,1,D,87,D
20151,2813665,7,2,1,200,D,2,D,34,E
20151,2813745,7,0,1,200,D,12,D,.,H
20151,2813745,7,300,1,200,D,12,D,3,E
20151,2813745,7,400,1,200,D,12,D,7,E
20151,2813745,8,0,1,200,D,1,D,19,D
20151,2813755,1,102,1,200,D,1,D,30,E
20151,2813755,1,202,1,200,D,1,D,28,E
20151,2814135,4,0,1,200,D,12,D,12,D
20151,2836304,1,203,1,200,D,12,D,26,E
20151,2837524,3,2,1,200,D,12,D,56,E
20151,2837584,3,4,2,200,D,11,D,23,E
20151,2837924,5,2,1,200,D,11,D,13,E
20151,2838025,2,0,1,200,D,12,D,90,D
20151,2838254,18,0,1,200,D,12,D,150,D
20151,2839094,11,0,2,200,D,11,D,24,D
20151,2839314,1,1,1,200,D,1,D,11,E
20151,2839524,2,0,1,200,D,1,D,.,H
20151,2839524,2,300,1,200,D,1,D,31,E
20151,2839524,2,400,1,200,D,1,D,29,E
20151,2839714,1,2,1,200,D,12,D,6,E
20151,2839894,1,0,1,200,D,11,D,40,D
20151,2840305,6,0,1,200,D,12,D,40,D
20151,2840354,3,0,1,200,D,11,D,.,H
20151,2840354,3,100,1,200,D,11,D,53,E
20151,2840354,3,200,1,200,D,11,D,50,E
20151,2840844,8,3,1,200,D,1,D,43,E
20151,2841074,3,0,1,200,D,1,D,8,D
20151,2841664,1,0,1,200,D,12,D,52,D
20151,2841964,9,0,1,200,D,12,D,53,D
20151,2842184,2,1,1,200,D,1,D,19,E
20151,2842334,1,5,1,200,D,11,D,9,G
20151,2842584,7,102,1,200,D,12,D,10,E
20151,2842584,7,202,1,200,D,12,D,39,E
20151,2842634,4,103,1,200,D,12,D,32,E
20151,2842634,4,204,1,200,D,12,D,99,E
20151,2842704,5,0,1,200,D,11,D,20,D
20151,2842724,3,0,1,200,D,12,D,21,D
20151,2843025,2,103,1,200,D,12,D,19,E
20151,2843204,4,1,1,200,D,1,D,23,E
20151,2843204,5,401,1,200,D,12,D,117,E
20151,2843504,1,0,1,200,D,12,D,15,D
20151,2843814,7,1,2,200,D,11,D,1,E
20151,2843974,3,0,1,200,D,11,D,25,D
20151,2844014,2,0,1,200,D,12,D,28,D
20151,2844104,2,0,1,200,D,1,D,11,D
20151,2844184,4,0,1,200,D,1,D,78,D
20151,2844454,4,0,1,200,D,12,D,.,H
20151,2844454,4,200,1,200,D,12,D,57,E
20151,2844454,4,400,1,200,D,12,D,44,E
20151,2844674,3,0,1,200,D,1,D,35,D
20151,2844734,2,101,1,200,D,12,D,81,E
20151,2844734,2,201,1,200,D,12,D,50,E
20151,2845304,1,0,1,200,D,11,D,16,D
20151,2845324,2,5,1,200,D,12,D,44,E
20151,2845454,5,0,1,200,D,1,D,.,H
20151,2845454,5,100,1,200,D,1,D,12,E
20151,2845454,5,200,1,200,D,1,D,10,E
20151,2845494,1,0,1,200,D,12,D,.,H
20151,2845494,1,100,1,200,D,12,D,42,E
20151,2845494,1,200,1,200,D,12,D,39,E
20151,2845494,2,0,1,200,D,1,D,.,H
20151,2845494,2,100,1,200,D,1,D,22,E
20151,2845494,2,200,1,200,D,1,D,21,E
20151,2845574,3,0,1,200,D,1,D,41,D
20151,2845874,6,0,1,200,D,1,D,20,D
20151,2845994,10,0,1,200,D,12,D,35,D
