NEWID,INCLASS
2792005,5
2792065,8
2792075,5
2792095,7
2792115,8
2792125,4
2792155,9
2792225,1
2792245,8
2792265,4
2792275,7
2792295,8
2792335,6
2792385,8
2792415,6
2792435,8
2792455,4
2792525,9
2792585,6
2792595,9
2792605,9
2792645,8
2792725,5
2792755,3
2792805,8
2792815,6
2792825,9
2792885,8
2792925,7
2792955,8
2793075,4
2793085,7
2793125,7
2793155,2
2793225,9
2793235,9
2793245,9
2793255,9
2793275,9
2793345,4
2793355,5
2793385,8
2793455,5
2793465,8
2793475,5
2793495,9
2793515,9
2793525,3
2793585,9
2793645,1
2793775,5
2793795,8
2793805,8
2793815,6
2793855,5
2793985,9
2794015,9
2794075,8
2794095,9
2794105,5
2794145,8
2794155,9
2794165,9
2794175,2
2794205,9
2794315,9
2794335,9
2794365,7
2794385,6
2794405,7
2794445,9
2794505,1
2794565,3
2794585,2
2794635,8
2794715,9
2794755,6
2794815,9
2794825,5
2794855,2
2794935,1
2794955,6
2794975,9
2795105,9
2795155,5
2795165,9
2795195,2
2795205,9
2795255,5
2795295,3
2795315,9
2795335,8
2795365,8
2795445,5
2795455,9
2795465,9
2795515,6
2795615,9
2795645,3
2795695,9
2795715,9
2795735,4
2795865,9
2795875,5
2796055,9
2796085,9
2796105,5
2796125,8
2796205,9
2796225,8
2796235,5
2796245,9
2796255,5
2796265,6
2796275,5
2796395,9
2796415,3
2796465,3
2796475,3
2796485,6
2796555,9
2796565,4
2796575,9
2796585,4
2796595,8
2796605,9
2796625,7
2796645,8
2796735,5
2796765,7
2796775,9
2796785,4
2796795,6
2796815,5
2796885,9
2796925,9
2796935,2
2796945,9
2796995,1
2797025,9
2797045,5
2797085,8
2797145,9
2797195,8
2797215,5
2797235,8
2797315,6
2797325,5
2797385,9
2797405,9
2797475,8
2797525,9
2797585,5
2797645,3
2797655,9
2797675,9
2797695,9
2797725,9
2797735,9
2797805,8
2797885,6
2797895,9
2797915,6
2797935,8
2797995,4
2798005,7
2798035,9
2798045,3
2798065,2
2798075,9
2798085,8
2798135,7
2798155,6
2798175,6
2798195,5
2798225,8
2798275,7
2798305,3
2798315,9
2798335,8
2798395,5
2798405,8
2798425,9
2798465,5
2798555,5
2798615,5
2798665,4
2798675,6
2798695,5
2798735,9
2798755,9
2798785,6
2798805,9
2798835,9
2798855,1
2798865,9
2798985,1
2799005,2
2799035,6
2799085,7
2799095,7
2799135,3
2799265,8
2799365,8
2799385,1
2799395,6
2799445,9
2799455,9
2799475,9
2799495,9
2799525,5
2799555,7
2799605,6
2799625,6
2799685,6
2799695,9
2799745,5
2799765,8
2799775,8
2799785,8
2799815,6
2799835,9
2799855,9
2799865,9
2799885,1
2799895,5
2799905,4
2799935,7
2799965,9
2799975,5
2799985,9
2800005,9
2800065,9
2800085,9
2800125,5
2800145,9
2800175,9
2800185,6
2800265,7
2800285,5
2800305,9
2800335,7
2800385,9
2800425,9
2800445,9
2800485,9
2800545,9
2800555,1
2800575,3
2800595,9
2800605,6
2800665,8
2800725,9
2800775,6
2800805,7
2800845,7
2800895,3
2800965,5
2800985,9
2801015,6
2801045,8
2801065,8
2801085,4
2801145,6
2801185,9
2801275,5
2801305,6
2801355,4
2801495,6
2801505,9
2801575,8
2801625,1
2801685,9
2801705,3
2801765,9
2801775,5
2801805,5
2801825,9
2801845,5
2801865,7
2801925,9
2801955,9
2801985,4
2802045,7
2802075,8
2802095,5
2802175,9
2802195,5
2802235,2
2802335,8
2802345,5
2802475,7
2802485,1
2802585,9
2802735,1
2802755,9
2802795,9
2802895,5
2802915,3
2802945,9
2802955,4
2802995,6
2803065,6
2803085,6
2803115,9
2803205,2
2803215,1
2803255,9
2803265,9
2803415,9
