"product.id","key","value"
1,"type","boxer briefs"
10,"type","boxers"
100,"type","boxer briefs"
101,"type","boxer briefs"
102,"type","boxers"
103,"type","boxer briefs"
104,"type","boxer briefs"
105,"type","briefs"
106,"type","boxer briefs"
107,"type","trunks"
108,"type","briefs"
109,"type","trunks"
11,"type","boxer briefs"
110,"type","trunks"
111,"type","trunks"
112,"type","boxer briefs"
114,"type","boxer briefs"
115,"type","boxer briefs"
116,"type","trunks"
117,"type","boxer briefs"
118,"type","boxer briefs"
119,"type","boxer briefs"
12,"type","boxer briefs"
120,"type","trunks"
121,"type","boxer briefs"
122,"type","boxer briefs"
123,"type","boxer briefs"
124,"type","trunks"
125,"type","briefs"
126,"type","trunks"
127,"type","trunks"
128,"type","boxers"
129,"type","trunks"
130,"type","briefs"
131,"type","briefs"
132,"type","briefs"
133,"type","trunks"
135,"type","trunks"
136,"type","boxer briefs"
137,"type","trunks"
138,"type","boxer briefs"
139,"type","boxer briefs"
14,"type","trunks"
140,"type","boxer briefs"
141,"type","trunks"
142,"type","trunks"
144,"type","trunks"
145,"type","boxers"
146,"type","boxers"
148,"type","boxer briefs"
149,"type","boxer briefs"
150,"type","trunks"
151,"type","boxer briefs"
152,"type","boxers"
153,"type","trunks"
154,"type","briefs"
16,"type","briefs"
18,"type","trunks"
19,"type","boxer briefs"
2,"type","briefs"
20,"type","briefs"
21,"type","boxer briefs"
22,"type","trunks"
23,"type","boxer briefs"
24,"type","boxer briefs"
25,"type","boxer briefs"
26,"type","boxer briefs"
28,"type","briefs"
29,"type","trunks"
3,"type","briefs"
30,"type","trunks"
31,"type","trunks"
33,"type","trunks"
36,"type","boxer briefs"
37,"type","boxer briefs"
39,"type","boxer briefs"
4,"type","trunks"
41,"type","trunks"
42,"type","briefs"
43,"type","boxer briefs"
44,"type","boxer briefs"
45,"type","trunks"
46,"type","trunks"
47,"type","boxers"
48,"type","trunks"
49,"type","boxer briefs"
5,"type","boxer briefs"
50,"type","trunks"
53,"type","trunks"
55,"type","trunks"
56,"type","briefs"
57,"type","boxer briefs"
59,"type","boxer briefs"
6,"type","trunks"
61,"type","boxer briefs"
62,"type","boxer briefs"
64,"type","trunks"
65,"type","boxer briefs"
66,"type","boxer briefs"
67,"type","boxer briefs"
68,"type","boxers"
69,"type","boxer briefs"
7,"type","boxer briefs"
70,"type","boxer briefs"
71,"type","boxer briefs"
72,"type","boxer briefs"
73,"type","boxer briefs"
74,"type","briefs"
75,"type","boxer briefs"
76,"type","trunks"
77,"type","trunks"
78,"type","boxers"
79,"type","boxer briefs"
8,"type","trunks"
80,"type","trunks"
81,"type","trunks"
82,"type","briefs"
83,"type","trunks"
84,"type","trunks"
85,"type","boxers"
86,"type","boxer briefs"
87,"type","trunks"
88,"type","briefs"
89,"type","boxer briefs"
9,"type","trunks"
90,"type","briefs"
91,"type","briefs"
92,"type","trunks"
93,"type","boxer briefs"
94,"type","boxers"
95,"type","trunks"
96,"type","trunks"
97,"type","boxer briefs"
99,"type","briefs"
1,"name","Iron Strength Boxer Briefs"
10,"name","Plaid Cotton Boxers"
100,"name","Cotton Superior Boxer Briefs"
101,"name","Cotton Superior Boxer Briefs"
102,"name","Cotton Sporty Button Fly Boxers"
103,"name","Micro Touch Covered Waistband Boxer Briefs"
104,"name","Cotton Sensation Boxer Brief"
105,"name","Micro Touch Briefs"
106,"name","Slim Waist Boxer Briefs"
107,"name","Pima Cotton Stretch Hipster Trunks"
108,"name","Dual Lifting Brief"
109,"name","Intense Power Low Rise Trunks"
11,"name","Tech Micro No Show Boxer Briefs"
110,"name","Dual Lifting Trunk"
111,"name","Luxury Stretch Microfiber Trunks"
112,"name","Prostretch Boxer Brief"
114,"name","Pima Cotton Stretch Boxer Briefs"
115,"name","Performance Modal Cotton Boxer Briefs"
116,"name","Prostretch Trunk"
117,"name","Urban Touch Boxer Briefs"
118,"name","Luxury Stretch Microfiber Boxer Briefs"
119,"name","Intense Power Boxer Briefs"
12,"name","Sliq Boxer Briefs"
120,"name","CK ID Trunks"
121,"name","Micro Touch Hanro Boxer Briefs"
122,"name","Body Modal Boxer Briefs"
123,"name","CK ID Boxer Briefs"
124,"name","CK ID Trunks"
125,"name","CK ID Graphic Micro Hip Briefs"
126,"name","Tencel Trunks"
127,"name","Steel Micro Low Rise Trunks"
128,"name","Cotton Sporty Button Fly Boxers"
129,"name","Sliq Micro Trunks"
130,"name","CK ID Hip Briefs"
131,"name","Sliq Micro Briefs"
132,"name","Hero Briefs"
133,"name","Body Modal Trunks"
