"product.id","key","value"
1001,"type","boxer briefs"
1010,"type","boxer briefs"
1011,"type","boxer briefs"
1012,"type","boxer briefs"
1013,"type","boxer briefs"
1014,"type","boxer briefs"
1015,"type","boxer briefs"
1016,"type","boxer briefs"
1017,"type","boxer briefs"
1018,"type","boxer briefs"
1019,"type","boxer briefs"
1002,"type","boxer briefs"
1020,"type","boxer briefs"
1003,"type","boxer briefs"
1004,"type","boxer briefs"
1005,"type","boxer briefs"
1006,"type","boxer briefs"
1007,"type","boxer briefs"
1008,"type","boxer briefs"
1009,"type","boxer briefs"
2001,"type","briefs"
2010,"type","briefs"
2011,"type","briefs"
2012,"type","briefs"
2002,"type","briefs"
2003,"type","briefs"
2004,"type","briefs"
2005,"type","briefs"
2006,"type","briefs"
2007,"type","briefs"
2008,"type","briefs"
2009,"type","briefs"
3001,"type","trunks"
3010,"type","trunks"
3011,"type","trunks"
3012,"type","trunks"
3013,"type","trunks"
3014,"type","trunks"
3015,"type","trunks"
3016,"type","trunks"
3017,"type","trunks"
3018,"type","trunks"
3019,"type","trunks"
3002,"type","trunks"
3020,"type","trunks"
3021,"type","trunks"
3022,"type","trunks"
3023,"type","trunks"
3024,"type","trunks"
3025,"type","trunks"
3026,"type","trunks"
3027,"type","trunks"
3028,"type","trunks"
3029,"type","trunks"
3003,"type","trunks"
3030,"type","trunks"
3004,"type","trunks"
3005,"type","trunks"
3006,"type","trunks"
3007,"type","trunks"
3008,"type","trunks"
3009,"type","trunks"
1001,"name","intense power micro boxer brief"
1010,"name","modern modal boxer brief"
1011,"name","air micro boxer brief"
1012,"name","ck black boxer brief"
1013,"name","ck black silk knit boxer brief"
1014,"name","ck black micro boxer brief"
1015,"name","iron strength micro boxer brief"
1016,"name","iron strength cotton boxer brief"
1017,"name","body modal stripe boxer brief"
1018,"name","body modal boxer brief"
1019,"name","x-cotton boxer brief"
1002,"name","intense power cotton boxer brief"
1020,"name","ck one micro boxer brief"
1003,"name","steel micro boxer brief"
1004,"name","ck id graphic micro boxer brief"
1005,"name","tech fusion micro boxer brief"
1006,"name","ck id micro boxer brief"
1007,"name","ck id graphic cotton stretch boxer brief"
1008,"name","ck id cotton stretch boxer brief"
1009,"name","zone fx boxer brief"
2001,"name","ck id micro hip brief"
2010,"name","iron strength micro hip brief"
2011,"name","iron strength cotton hip brief"
2012,"name","magnetic force micro hip brief"
2002,"name","ck id graphic micro hip brief"
2003,"name","ck id graphic cotton stretch hip brief"
2004,"name","ck id cotton stretch hip brief"
2005,"name","intense power cotton hip brief"
2006,"name","intense power micro hip brief"
2007,"name","steel micro hip brief"
2008,"name","ck black hip brief"
2009,"name","ck black pima hip brief"
3001,"name","ck id graphic micro low rise trunk"
3010,"name","intense power micro low rise trunk"
3011,"name","zone fx low rise trunk"
3012,"name","modern modal trunk"
3013,"name","ck one cotton stretch trunk"
3014,"name","air micro low rise trunk"
3015,"name","body modal stripe trunk"
3016,"name","body modal trunk"
3017,"name","ck black low rise trunk"
3018,"name","ck black pima trunk"
3019,"name","ck black silk knit low-rise trunk"
3002,"name","ck id cotton stretch trunk"
3020,"name","iron strength micro low rise trunk"
3021,"name","iron strength cotton trunk"
3022,"name","intense power cotton trunk"
3023,"name","x-cotton trunk"
3024,"name","ck one micro low rise trunk"
3025,"name","steel cotton low rise trunk"
3026,"name","liquid stretch micro low-rise trunk"
3027,"name","ck id organics micro low rise trunk"
3028,"name","ck id cotton anarchy low rise trunk"
3029,"name","ck id organics graphic cotton trunk"
3003,"name","ck id graphic cotton stretch trunk"
3030,"name","ck black prism low rise trunk"
3004,"name","ck id micro low rise trunk"
3005,"name","ck id cotton low rise trunk"
3006,"name","infinite color trunk"
3007,"name","ck id graphic cotton stretch low rise trunk"
3008,"name","steel micro low-rise trunk"
3009,"name","tech fusion micro low rise trunk"
1001,"color","black"
1001,"color","white"
1001,"color","brandeis"
1001,"color","bajablue"
1001,"color","brightflash"
1001,"color","solaryellow"
1010,"color","amplifiedblue"
1010,"color","black"
1010,"color","interlude"
1010,"color","white"
1010,"color","blueshadow"
1010,"color","prussian"
1010,"color","silverlake"
1010,"color","purple"
1010,"color","impact"
1011,"color","black"
1011,"color","white"
1011,"color","navy"
1011,"color","blue"
1011,"color","red"
1012,"color","black"
1012,"color","greysky"
1012,"color","blueshadow"
1013,"color","white"
1014,"color","black"
1014,"color","grey"
1014,"color","navy"
1015,"color","black"
1015,"color","white"
1015,"color","blueshadow"
1015,"color","tigerwing"
1015,"color","paradise"
1016,"color","black"
1016,"color","white"
1016,"color","blueice"
1016,"color","perpetua"
1016,"color","sultry"
1016,"color","impact"
1017,"color","pattern"
1018,"color","crushedviolet"
1018,"color","black"
1018,"color","white"
1018,"color","blueshadow"
1019,"color","white"
1002,"color","black"
1002,"color","white"
1002,"color","blueshadow"
1002,"color","victorianblue"
1002,"color","callaorange"
1020,"color","white"
1003,"color","black"
1003,"color","white"
1003,"color","mink"
1003,"color","rebel"
1003,"color","darkmidnight"
1003,"color","amora"
1004,"color","black"
1004,"color","greysky"
1004,"color","white"
1004,"color","blueshadow"
1004,"color","paradise"
1004,"color","lavish"
1004,"color","brightflash"
1005,"color","black"
1005,"color","greysky"
1005,"color","white"
1005,"color","lynxblue"
1005,"color","magic"
1005,"color","impact"
1005,"color","paradise"
1005,"color","callaorange"
1005,"color","brightflash"
1006,"color","black"
1006,"color","greysky"
1006,"color","white"
1006,"color","orbitlogoprintwhite"
1006,"color","blueshadow"
1006,"color","prussian"
1006,"color","multiplelogobajablue"
1006,"color","spraycklogoamora"
1006,"color","rumbleprintlavish"
1006,"color","diffuseddotsrebel"
1006,"color","bajablue"
1006,"color","graffitiprinthenna"
1006,"color","orangerogue"
1007,"color","black"
1007,"color","greyheather"
1007,"color","white"
1007,"color","primal"
1007,"color","dreamblue"
1007,"color","orangerogue"
1008,"color","black"
1008,"color","blackprint"
1008,"color","greyheather"
1008,"color","white"
1008,"color","contourlogoorion"
1008,"color","songbird"
1008,"color","gavinstripedodgerblue"
1008,"color","anarchyprintblack"
1008,"color","paradise"
1008,"color","inclinestripeamora"
1008,"color","wildpink"
1008,"color","atomprintamora"
1008,"color","brightflash"
1008,"color","cksketchlogorebel"
1009,"color","powerpink"
1009,"color","powerblue"
1009,"color","poweryellow"
1009,"color","powerorange"
2001,"color","black"
2001,"color","greysky"
2001,"color","white"
2001,"color","orbitlogoprintwhite"
2001,"color","blueshadow"
2001,"color","prussian"
2001,"color","spraycklogoamora"
2001,"color","rumbleprintlavish"
2010,"color","black"
2010,"color","white"
2010,"color","blueshadow"
2010,"color","paradise"
2011,"color","black"
2011,"color","white"
2011,"color","blueice"
2011,"color","perpetua"
2011,"color","sultry"
2011,"color","naraorange"
2011,"color","impact"
2012,"color","blueshadow"
2002,"color","black"
2002,"color","greysky"
2002,"color","white"
2002,"color","blueshadow"
2002,"color","paradise"
2003,"color","black"
2003,"color","greyheather"
2003,"color","white"
2003,"color","primal"
2003,"color","dreamblue"
2003,"color","orangerogue"
2004,"color","black"
2004,"color","greyheather"
2004,"color","white"
2004,"color","anarchyprintblack"
2004,"color","wildpink"
2004,"color","atomprintamora"
2004,"color","brightflash"
2005,"color","black"
2005,"color","white"
2005,"color","blueshadow"
2005,"color","victorianblue"
2005,"color","callaorange"
2006,"color","black"
2006,"color","white"
2006,"color","brandeis"
2006,"color","fusion"
2006,"color","impact"
2006,"color","brightflash"
2007,"color","black"
2007,"color","white"
2007,"color","rebel"
2007,"color","darkmidnight"
2007,"color","amora"
2008,"color","black"
2008,"color","greysky"
2008,"color","blueshadow"
2009,"color","grey"
2009,"color","blue"
3001,"color","djprintblack"
3001,"color","turntableprintblack"
3001,"color","amplifiedwaveprintdodgerblue"
3010,"color","black"
3010,"color","white"
3010,"color","brandeis"
3010,"color","fusion"
3010,"color","impact"
3010,"color","bajablue"
3010,"color","silverlake"
3010,"color","brightflash"
3011,"color","powerpink"
3011,"color","powerblue"
3011,"color","poweryellow"
3011,"color","powerorange"
3012,"color","amplifiedblue"
3012,"color","black"
3012,"color","interlude"
3012,"color","white"
3012,"color","blueshadow"
3012,"color","prussian"
3012,"color","silverlake"
3012,"color","purple"
3012,"color","impact"
3013,"color","white"
3013,"color","softgreyheather"
3013,"color","black"
3013,"color","urbanblue"
3014,"color","black"
3014,"color","white"
3014,"color","navy"
3014,"color","cobalt"
3014,"color","brilliantred"
3015,"color","pattern"
3016,"color","crushedviolet"
3016,"color","steelgreyheather"
3016,"color","white"
3017,"color","black"
3017,"color","greysky"
3017,"color","brandeis"
3017,"color","perpetua"
3017,"color","blueshadow"
3018,"color","black"
3018,"color","grey"
3018,"color","white"
3018,"color","blue"
3019,"color","white"
3002,"color","black"
3002,"color","blackprint"
3002,"color","greyheather"
3002,"color","white"
3002,"color","anarchyprintblack"
3002,"color","paradise"
3002,"color","inclinestripeamora"
3002,"color","wildpink"
3002,"color","atomprintamora"
3002,"color","brightflash"
3002,"color","cksketchlogorebel"
3020,"color","black"
3020,"color","white"
3020,"color","blueshadow"
3020,"color","paradise"
3020,"color","brightnectar"
3021,"color","black"
3021,"color","white"
3021,"color","blueice"
3021,"color","perpetua"
3021,"color","sultry"
3021,"color","impact"
3021,"color","prussian"
3022,"color","black"
3022,"color","white"
3022,"color","blueshadow"
3022,"color","victorianblue"
3022,"color","callaorange"
3023,"color","white"
3024,"color","white"
3024,"color","charcoal"
3025,"color","white"
3026,"color","black"
3026,"color","white"
3027,"color","feathersprint"
3027,"color","palmsprint"
3028,"color","callaorangewithblack"
3029,"color","fadedleavesprintblack"
3003,"color","linearaudioprintblack"
3003,"color","ransomlogoprintillumine"
3030,"color","blueshadowdot"
3004,"color","black"
3004,"color","greysky"
3004,"color","white"
3004,"color","orbitlogoprintwhite"
3004,"color","blueshadow"
3004,"color","prussian"
3004,"color","aquaspray"
3004,"color","spraycklogoamora"
3004,"color","pointlogoblack"
3004,"color","diffuseddotsrebel"
3004,"color","bajablue"
3004,"color","paintedstripegrape"
3004,"color","graffitiprinthenna"
3004,"color","orangerogue"
3005,"color","black"
3005,"color","greyheather"
3005,"color","white"
3005,"color","anarchyprintblack"
3005,"color","paradise"
3005,"color","inclinestripeamora"
3005,"color","wildpink"
3005,"color","atomprintamora"
3005,"color","brightflash"
3005,"color","cksketchlogorebel"
3006,"color","black"
3006,"color","white"
3006,"color","brandeis"
3006,"color","prussian"
3006,"color","orangerogue"
3007,"color","black"
3007,"color","greyheather"
3007,"color","white"
3007,"color","primal"
3007,"color","dreamblue"
3007,"color","orangerogue"
3008,"color","black"
3008,"color","white"
3008,"color","mink"
3008,"color","rebel"
3008,"color","darkmidnight"
3008,"color","blueice"
3008,"color","paradise"
3008,"color","amora"
3008,"color","orangerogue"
3009,"color","black"
3009,"color","greysky"
3009,"color","white"
3009,"color","lynxblue"
3009,"color","dreamblue"
3009,"color","magic"
3009,"color","impact"
3009,"color","paradise"
3009,"color","callaorange"
3009,"color","brightflash"
1001,"material","polyester"
1001,"material","elastane"
1001,"material","elastic"
1010,"material","elastane"
1010,"material","elastic"
1011,"material","nylon"
1011,"material","elastane"
1011,"material","elastic"
1012,"material","nylon"
1012,"material","elastane"
1012,"material","elastic"
1013,"material","silk"
1013,"material","spandex"
1013,"material","elastic"
1013,"material","knit"
1014,"material","spandex"
1014,"material","nylon"
1014,"material","elastic"
1015,"material","nylon"
1015,"material","elastane"
1015,"material","elastic"
1016,"material","cotton"
1016,"material","elastane"
1016,"material","elastic"
1017,"material","elastane"
1017,"material","elastic"
1018,"material","elastane"
1019,"material","cotton"
1019,"material","spandex"
1019,"material","microfiber"
1019,"material","elastic"
1019,"material","jacquard"
1019,"material","woven"
1002,"material","cotton"
1002,"material","elastane"
1002,"material","elastic"
1020,"material","nylon"
1020,"material","microfiber"
1020,"material","elastane"
1003,"material","nylon"
1003,"material","microfiber"
1003,"material","elastane"
1004,"material","nylon"
1004,"material","elastane"
1004,"material","elastic"
1005,"material","polyester"
1005,"material","elastane"
1005,"material","elastic"
1006,"material","nylon"
1006,"material","elastane"
1006,"material","elastic"
1007,"material","cotton"
1007,"material","elastane"
1007,"material","elastic"
1008,"material","cotton"
1008,"material","elastane"
1008,"material","elastic"
1009,"material","polyester"
1009,"material","microfiber"
1009,"material","elastane"
1009,"material","elastic"
2001,"material","nylon"
2001,"material","elastane"
2001,"material","elastic"
2010,"material","nylon"
2010,"material","elastane"
2010,"material","elastic"
2011,"material","cotton"
2011,"material","elastane"
2011,"material","elastic"
2012,"material","nylon"
2012,"material","elastane"
2002,"material","nylon"
2002,"material","elastane"
2002,"material","elastic"
2003,"material","cotton"
2003,"material","elastane"
2003,"material","elastic"
2004,"material","cotton"
2004,"material","elastane"
2004,"material","elastic"
2005,"material","cotton"
2005,"material","elastane"
2005,"material","elastic"
2006,"material","polyester"
2006,"material","elastane"
2006,"material","elastic"
2007,"material","nylon"
2007,"material","microfiber"
2007,"material","elastane"
2008,"material","nylon"
2008,"material","microfiber"
2008,"material","elastane"
2008,"material","elastic"
2009,"material","cotton"
2009,"material","elastane"
2009,"material","elastic"
3001,"material","nylon"
3001,"material","elastane"
3001,"material","elastic"
3010,"material","polyester"
3010,"material","elastane"
3010,"material","elastic"
3011,"material","polyester"
3011,"material","microfiber"
3011,"material","elastane"
3011,"material","elastic"
3012,"material","elastane"
3012,"material","elastic"
3013,"material","cotton"
3013,"material","elastane"
3013,"material","jacquard"
3014,"material","nylon"
3014,"material","elastane"
3014,"material","elastic"
3015,"material","elastane"
3015,"material","elastic"
3016,"material","elastane"
3017,"material","nylon"
3017,"material","microfiber"
3017,"material","elastane"
3017,"material","elastic"
3018,"material","cotton"
3018,"material","elastane"
3018,"material","elastic"
3019,"material","silk"
3019,"material","spandex"
3019,"material","elastic"
3019,"material","knit"
3002,"material","cotton"
3002,"material","elastane"
3002,"material","elastic"
3020,"material","nylon"
3020,"material","elastane"
3020,"material","elastic"
3021,"material","cotton"
3021,"material","elastane"
3021,"material","elastic"
3022,"material","cotton"
3022,"material","elastane"
3022,"material","elastic"
3023,"material","cotton"
3023,"material","spandex"
3023,"material","microfiber"
3023,"material","elastic"
3023,"material","jacquard"
3023,"material","woven"
3024,"material","nylon"
3024,"material","microfiber"
3024,"material","elastane"
3025,"material","cotton"
3025,"material","spandex"
3026,"material","polyester"
3026,"material","microfiber"
3026,"material","elastane"
3026,"material","elastic"
3027,"material","nylon"
3027,"material","elastane"
3027,"material","elastic"
3028,"material","cotton"
3028,"material","elastane"
3028,"material","elastic"
3029,"material","cotton"
3029,"material","elastane"
3029,"material","elastic"
3003,"material","cotton"
3003,"material","elastane"
3003,"material","elastic"
3030,"material","cotton"
3030,"material","viscose"
3030,"material","nylon"
3030,"material","elastane"
3030,"material","elastic"
3030,"material","jacquard"
3004,"material","nylon"
3004,"material","elastane"
3004,"material","elastic"
3005,"material","cotton"
3005,"material","elastane"
3005,"material","elastic"
3006,"material","cotton"
3006,"material","elastane"
3006,"material","elastic"
3007,"material","cotton"
3007,"material","elastane"
3007,"material","elastic"
3008,"material","nylon"
3008,"material","microfiber"
3008,"material","elastane"
3009,"material","polyester"
3009,"material","elastane"
3009,"material","elastic"
1001,"price.original","30"
1010,"price.original","30"
1011,"price.original","32"
1012,"price.original","36"
1013,"price.original","38"
1014,"price.original","36"
1015,"price.original","32"
1016,"price.original","30"
1017,"price.original","28"
1018,"price.original","28"
1019,"price.original","12"
1002,"price.original","30"
1020,"price.original","9"
1003,"price.original","28"
1004,"price.original","28"
1005,"price.original","30"
1006,"price.original","24"
1007,"price.original","26"
1008,"price.original","24"
1009,"price.original","34"
2001,"price.original","20"
2010,"price.original","30"
2011,"price.original","28"
2012,"price.original","12"
2002,"price.original","24"
2003,"price.original","22"
2004,"price.original","20"
2005,"price.original","26"
2006,"price.original","26"
2007,"price.original","24"
2008,"price.original","34"
2009,"price.original","34"
3001,"price.original","28"
3010,"price.original","30"
3011,"price.original","32"
3012,"price.original","30"
3013,"price.original","12"
3014,"price.original","32"
3015,"price.original","28"
3016,"price.original","28"
3017,"price.original","36"
3018,"price.original","34"
3019,"price.original","38"
3002,"price.original","24"
3020,"price.original","32"
3021,"price.original","30"
3022,"price.original","30"
3023,"price.original","12"
3024,"price.original","9"
3025,"price.original","12"
3026,"price.original","12"
3027,"price.original","14"
3028,"price.original","12"
3029,"price.original","12"
3003,"price.original","26"
3030,"price.original","19"
3004,"price.original","24"
3005,"price.original","24"
3006,"price.original","28"
3007,"price.original","26"
3008,"price.original","28"
3009,"price.original","30"
1001,"price.sale","4"
1010,"price.sale","19"
1011,"price.sale","32"
1012,"price.sale","36"
1013,"price.sale","38"
1014,"price.sale","36"
1015,"price.sale","19"
1016,"price.sale","14"
1017,"price.sale","28"
1018,"price.sale","14"
1019,"price.sale","12"
1002,"price.sale","14"
1020,"price.sale","9"
1003,"price.sale","16"
1004,"price.sale","28"
1005,"price.sale","19"
1006,"price.sale","19"
1007,"price.sale","12"
1008,"price.sale","12"
1009,"price.sale","34"
2001,"price.sale","20"
2010,"price.sale","14"
2011,"price.sale","14"
2012,"price.sale","12"
2002,"price.sale","24"
2003,"price.sale","12"
2004,"price.sale","9"
2005,"price.sale","12"
2006,"price.sale","12"
2007,"price.sale","24"
2008,"price.sale","34"
2009,"price.sale","34"
3001,"price.sale","28"
3010,"price.sale","14"
3011,"price.sale","32"
3012,"price.sale","19"
3013,"price.sale","9"
3014,"price.sale","32"
3015,"price.sale","28"
3016,"price.sale","14"
3017,"price.sale","36"
3018,"price.sale","34"
3019,"price.sale","38"
3002,"price.sale","12"
3020,"price.sale","12"
3021,"price.sale","12"
3022,"price.sale","14"
3023,"price.sale","12"
3024,"price.sale","9"
3025,"price.sale","12"
3026,"price.sale","12"
3027,"price.sale","14"
3028,"price.sale","12"
3029,"price.sale","12"
3003,"price.sale","26"
3030,"price.sale","19"
3004,"price.sale","14"
3005,"price.sale","12"
3006,"price.sale","28"
3007,"price.sale","12"
3008,"price.sale","28"
3009,"price.sale","14"
1001,"source","Calvin Klein"
1010,"source","Calvin Klein"
1011,"source","Calvin Klein"
1012,"source","Calvin Klein"
1013,"source","Calvin Klein"
1014,"source","Calvin Klein"
1015,"source","Calvin Klein"
1016,"source","Calvin Klein"
1017,"source","Calvin Klein"
1018,"source","Calvin Klein"
1019,"source","Calvin Klein"
1002,"source","Calvin Klein"
1020,"source","Calvin Klein"
1003,"source","Calvin Klein"
1004,"source","Calvin Klein"
1005,"source","Calvin Klein"
1006,"source","Calvin Klein"
1007,"source","Calvin Klein"
1008,"source","Calvin Klein"
1009,"source","Calvin Klein"
2001,"source","Calvin Klein"
2010,"source","Calvin Klein"
2011,"source","Calvin Klein"
2012,"source","Calvin Klein"
2002,"source","Calvin Klein"
2003,"source","Calvin Klein"
2004,"source","Calvin Klein"
2005,"source","Calvin Klein"
2006,"source","Calvin Klein"
2007,"source","Calvin Klein"
2008,"source","Calvin Klein"
2009,"source","Calvin Klein"
3001,"source","Calvin Klein"
