"product.id","key","value"
1,"type","boxer briefs"
10,"type","boxer briefs"
100,"type","boxer briefs"
11,"type","briefs"
12,"type","boxer briefs"
13,"type","briefs"
14,"type","boxer briefs"
15,"type","boxer briefs"
16,"type","briefs"
17,"type","boxers"
18,"type","briefs"
19,"type","trunks"
2,"type","briefs"
20,"type","briefs"
21,"type","trunks"
22,"type","boxer briefs"
23,"type","boxer briefs"
24,"type","trunks"
25,"type","boxer briefs"
26,"type","boxer briefs"
27,"type","boxer briefs"
28,"type","boxer briefs"
29,"type","boxer briefs"
3,"type","boxer briefs"
30,"type","boxer briefs"
31,"type","boxer briefs"
32,"type","boxer briefs"
33,"type","boxer briefs"
34,"type","briefs"
35,"type","boxer briefs"
36,"type","boxer briefs"
37,"type","boxer briefs"
38,"type","boxer briefs"
39,"type","briefs"
4,"type","boxer briefs"
40,"type","briefs"
41,"type","briefs"
42,"type","trunks"
43,"type","boxer briefs"
44,"type","trunks"
45,"type","boxer briefs"
46,"type","boxer briefs"
47,"type","boxer briefs"
48,"type","boxers"
49,"type","boxer briefs"
5,"type","boxer briefs"
50,"type","boxer briefs"
51,"type","boxer briefs"
52,"type","boxers"
53,"type","boxer briefs"
54,"type","boxers"
55,"type","boxer briefs"
56,"type","boxer briefs"
57,"type","boxer briefs"
58,"type","boxer briefs"
59,"type","boxer briefs"
6,"type","trunks"
60,"type","boxer briefs"
61,"type","briefs"
62,"type","boxer briefs"
63,"type","boxer briefs"
64,"type","trunks"
65,"type","trunks"
66,"type","boxers"
67,"type","briefs"
68,"type","trunks"
69,"type","briefs"
7,"type","briefs"
70,"type","boxer briefs"
71,"type","trunks"
72,"type","boxer briefs"
73,"type","trunks"
74,"type","trunks"
75,"type","boxer briefs"
76,"type","boxer briefs"
77,"type","trunks"
78,"type","trunks"
79,"type","trunks"
8,"type","boxers"
80,"type","boxer briefs"
81,"type","boxer briefs"
82,"type","boxer briefs"
83,"type","boxer briefs"
84,"type","boxer briefs"
85,"type","boxer briefs"
86,"type","boxer briefs"
87,"type","boxer briefs"
88,"type","trunks"
89,"type","trunks"
9,"type","trunks"
90,"type","briefs"
91,"type","boxer briefs"
92,"type","boxer briefs"
93,"type","boxer briefs"
94,"type","briefs"
95,"type","boxer briefs"
96,"type","boxer briefs"
97,"type","boxer briefs"
98,"type","boxer briefs"
99,"type","boxer briefs"
1,"type","boxer briefs"
10,"type","boxer briefs"
100,"type","boxer briefs"
11,"type","briefs"
12,"type","boxer briefs"
13,"type","boxer briefs"
14,"type","boxer briefs"
15,"type","boxer briefs"
16,"type","boxer briefs"
17,"type","boxer briefs"
18,"type","boxer briefs"
19,"type","boxer briefs"
2,"type","boxer briefs"
20,"type","boxer briefs"
21,"type","boxer briefs"
22,"type","boxer briefs"
23,"type","boxer briefs"
24,"type","boxer briefs"
25,"type","boxer briefs"
26,"type","boxer briefs"
27,"type","boxer briefs"
28,"type","boxer briefs"
29,"type","boxer briefs"
3,"type","boxer briefs"
30,"type","trunks"
31,"type","trunks"
32,"type","briefs"
33,"type","boxer briefs"
34,"type","trunks"
35,"type","boxers"
36,"type","trunks"
37,"type","trunks"
38,"type","trunks"
39,"type","boxer briefs"
4,"type","boxer briefs"
40,"type","trunks"
41,"type","trunks"
42,"type","boxer briefs"
43,"type","trunks"
44,"type","boxer briefs"
45,"type","briefs"
46,"type","trunks"
47,"type","boxer briefs"
48,"type","briefs"
49,"type","boxer briefs"
5,"type","boxer briefs"
50,"type","boxers"
51,"type","boxer briefs"
52,"type","trunks"
53,"type","boxer briefs"
54,"type","briefs"
55,"type","boxer briefs"
56,"type","briefs"
57,"type","boxer briefs"
58,"type","briefs"
59,"type","trunks"
6,"type","boxer briefs"
60,"type","trunks"
62,"type","boxers"
63,"type","trunks"
64,"type","boxer briefs"
65,"type","trunks"
66,"type","trunks"
67,"type","boxer briefs"
68,"type","trunks"
69,"type","boxer briefs"
7,"type","boxer briefs"
70,"type","boxer briefs"
71,"type","boxer briefs"
72,"type","boxer briefs"
73,"type","boxer briefs"
74,"type","boxer briefs"
75,"type","boxer briefs"
76,"type","boxer briefs"
77,"type","boxer briefs"
78,"type","boxer briefs"
79,"type","trunks"
8,"type","boxer briefs"
80,"type","trunks"
81,"type","boxer briefs"
82,"type","boxer briefs"
83,"type","boxer briefs"
84,"type","boxer briefs"
85,"type","boxers"
86,"type","boxer briefs"
87,"type","briefs"
88,"type","trunks"
89,"type","boxer briefs"
9,"type","boxer briefs"
90,"type","trunks"
91,"type","briefs"
92,"type","trunks"
93,"type","trunks"
94,"type","briefs"
95,"type","boxers"
96,"type","boxer briefs"
97,"type","boxer briefs"
98,"type","boxer briefs"
99,"type","boxer briefs"
1,"type","boxer briefs"
10,"type","trunks"
100,"type","boxer briefs"
101,"type","boxer briefs"
102,"type","trunks"
103,"type","boxer briefs"
104,"type","briefs"
105,"type","boxers"
106,"type","boxer briefs"
107,"type","boxer briefs"
108,"type","boxer briefs"
11,"type","boxer briefs"
110,"type","boxer briefs"
111,"type","boxer briefs"
112,"type","boxer briefs"
113,"type","boxer briefs"
114,"type","briefs"
115,"type","briefs"
116,"type","boxers"
117,"type","briefs"
12,"type","boxer briefs"
13,"type","boxer briefs"
14,"type","boxer briefs"
15,"type","boxer briefs"
16,"type","boxer briefs"
17,"type","boxer briefs"
18,"type","boxer briefs"
19,"type","briefs"
2,"type","boxer briefs"
20,"type","boxer briefs"
21,"type","trunks"
22,"type","boxers"
23,"type","trunks"
24,"type","boxer briefs"
25,"type","boxer briefs"
26,"type","boxer briefs"
27,"type","boxer briefs"
28,"type","boxers"
29,"type","boxer briefs"
3,"type","boxer briefs"
30,"type","trunks"
31,"type","briefs"
32,"type","trunks"
33,"type","trunks"
34,"type","boxer briefs"
35,"type","briefs"
36,"type","boxer briefs"
37,"type","boxer briefs"
38,"type","boxer briefs"
39,"type","boxer briefs"
4,"type","trunks"
40,"type","boxer briefs"
41,"type","boxers"
42,"type","briefs"
43,"type","boxer briefs"
44,"type","trunks"
45,"type","boxer briefs"
46,"type","boxer briefs"
47,"type","boxers"
48,"type","boxer briefs"
49,"type","trunks"
5,"type","briefs"
50,"type","trunks"
51,"type","boxer briefs"
52,"type","boxer briefs"
53,"type","boxer briefs"
54,"type","boxers"
55,"type","briefs"
56,"type","trunks"
57,"type","trunks"
58,"type","briefs"
59,"type","trunks"
6,"type","boxer briefs"
60,"type","trunks"
61,"type","briefs"
62,"type","boxer briefs"
63,"type","briefs"
64,"type","boxers"
65,"type","briefs"
66,"type","boxer briefs"
67,"type","boxer briefs"
68,"type","trunks"
69,"type","trunks"
7,"type","boxer briefs"
70,"type","boxer briefs"
71,"type","boxer briefs"
72,"type","trunks"
73,"type","trunks"
74,"type","briefs"
75,"type","boxer briefs"
76,"type","boxer briefs"
77,"type","boxer briefs"
78,"type","boxer briefs"
79,"type","trunks"
8,"type","boxer briefs"
80,"type","boxer briefs"
81,"type","boxer briefs"
82,"type","trunks"
83,"type","boxer briefs"
84,"type","boxer briefs"
85,"type","boxer briefs"
86,"type","boxer briefs"
87,"type","boxer briefs"
88,"type","boxer briefs"
89,"type","trunks"
9,"type","boxer briefs"
90,"type","trunks"
91,"type","boxer briefs"
92,"type","trunks"
93,"type","boxer briefs"
94,"type","boxer briefs"
95,"type","boxer briefs"
96,"type","boxer briefs"
97,"type","boxer briefs"
98,"type","boxer briefs"
99,"type","boxer briefs"
1,"name","U5555 Micromodal Boxer Briefs"
10,"name","'Intense Power' Microfiber Boxer Briefs"
100,"name","x Kevin Love Vibe Boxer Briefs"
11,"name","'Steel - U2715' Microfiber Hip Briefs"
12,"name","Iron Strength Boxer Briefs"
13,"name","Sliq Micro Mesh Sport Briefs"
14,"name","Stretch Cotton Boxer Briefs"
15,"name","Fiesta Stretch Cotton Boxer Briefs"
16,"name","'Intense Power' Microfiber Hip Briefs"
17,"name","Stripe Cotton Boxers"
18,"name","'Iron Strength' Briefs"
19,"name","Sliq Micro Trunks"
2,"name","'U5552' Micromodal Bikini Briefs"
20,"name","Micro Mesh Briefs"
21,"name","Tech Micro Mesh Trunks"
22,"name","Micro Mesh Boxer Briefs"
23,"name","Vibe Boxer Briefs"
24,"name","Air FX Low Rise Trunks"
25,"name","Star Warsâ<U+0084>¢ Boxer Briefs"
26,"name","Man of War Boxer Briefs"
27,"name","Jungle Cat Stretch Boxer Briefs"
28,"name","Silver Tiger Stretch Cotton Boxer Briefs"
29,"name","Bull Fight Stretch Boxer Briefs"
3,"name","'Vibe' Stretch Boxer Briefs"
30,"name","Lace Skull Stretch Boxer Briefs"
31,"name","Havana Whips Stretch Boxer Briefs"
32,"name","King of 3D Stretch Boxer Briefs"
33,"name","Moscow Nights Stretch Boxer Briefs"
34,"name","Mod Stretch Bikini Briefs"
35,"name","x Kevin Love Vibe Boxer Briefs"
36,"name","x Kevin Love Vibe Boxer Briefs"
37,"name","Del Mar Screaming Hand Boxer Briefs"
38,"name","Del Mar Plano Boxer Briefs"
39,"name","Sliq Micro Mesh Briefs"
4,"name","Steel U2719 Microfiber Boxer Briefs"
40,"name","Mod Stretch No-Show Briefs"
41,"name","Air FX Low Rise Briefs"
42,"name","Black Stretch Trunks"
43,"name","Woven Boxer Shorts"
44,"name","Iron Strength Low Rise Trunks"
45,"name","Boxer Shorts"
46,"name","2X OTF Boxer Briefs"
47,"name","Herringbone Stripe Silk Boxer Shorts"
48,"name","Cotton & Modal Boxers"
49,"name","Wholester Cartridge Boxer Briefs"
5,"name","'Second Skin' Boxer Briefs"
50,"name","Iron Strength Boxer Briefs"
51,"name","3Six Five Stretch Cotton Boxer Briefs"
52,"name","Micro Modal Blend Knit Boxers"
53,"name","Stretch Jersey Boxer Briefs"
54,"name","Print Cotton Boxers"
55,"name","Livingstone Stretch Micromodal Boxer Briefs"
56,"name","Hooked Mako Boxer Briefs"
57,"name","Sliq Stretch Microfiber Boxer Briefs"
58,"name","Micromodal Boxer Briefs"
59,"name","Second Skin Titanium Boxer Briefs"
6,"name","Steel U2716 Microfiber Low Rise Trunks"
60,"name","The Basilone - Mariner Stretch Modal Boxer Briefs"
61,"name","Second Skin Briefs"
62,"name","Aloha Stretch Micromodal Boxer Briefs"
63,"name","The Basilon - J. Harden Blinds Boxer Briefs"
64,"name","ID Organics Stretch Trunks"
65,"name","Second Skin Titanium Geo Print Trunks"
66,"name","Second Skin Titanium Boxers"
67,"name","Second Skin Titanium Briefs"
68,"name","ID Stretch Trunks"
69,"name","Stretch Cotton No-Show Briefs"
7,"name","Sliq Micro Briefs"
70,"name","The Basilone - Smoke Screen Boxer Briefs"
71,"name","Cool Cotton Trunks"
72,"name","Zone FX Boxer Briefs"
73,"name","Stretch Cotton Trunks"
74,"name","Stretch Cotton Trunks"
75,"name","Stretch Cotton Boxer Briefs"
76,"name","Air FX Low Rise Boxer Briefs"
77,"name","Stretch Cotton Trunks"
78,"name","Impressions Stretch Cotton Trunks"
79,"name","ID Stretch Cotton Trunks"
8,"name","Classic Fit Cotton Boxers"
80,"name","Cool Cotton Boxer Briefs"
81,"name","Luxe Stretch Boxer Briefs"
82,"name","Tech Stretch Boxer Briefs"
83,"name","Quest 2.0 Stretch Boxer Briefs"
84,"name","Tee Pee Stretch Micromodal Boxer Briefs"
85,"name","Luxe Stretch Micromodal Boxer Briefs"
86,"name","Tech Fusion Microfiber Boxer Briefs"
87,"name","Basilone Fourth Stretch Modal Boxer Briefs"
88,"name","Iron Strength Trunks"
89,"name","Stretch Pima Cotton Trunks"
9,"name","U5554 Micromodal Trunks"
90,"name","Stretch Pima Cotton No-Show Briefs"
91,"name","'Kinetic' Stretch Boxer Briefs"
92,"name","Stretch Boxer Briefs"
93,"name","Air FX Low Rise Boxer Briefs"
94,"name","Sliq Micro Briefs"
95,"name","Alumni 3M Boxer Briefs"
96,"name","Jahlil Boxer Briefs"
97,"name","Hood Nation Boxer Briefs"
98,"name","Ocean Snake Stretch Boxer Briefs"
99,"name","Patchworked Stretch Boxer Briefs"
1,"name","Del Mar Overspray Boxer Briefs"
10,"name","Visita Split Screen Relaxed Fit Boxer Briefs"
100,"name","Dubai Nights Stretch Boxer Briefs"
11,"name","Graphic Micro No-Show Brief"
12,"name","Pro Elite 2.0 Boxer Briefs"
13,"name","Oliver Stretch Micromodal Boxer Briefs"
14,"name","Zen Stretch Micromodal Boxer Briefs"
15,"name","Del Mar Star Warsâ<U+0084>¢ R2D2 Boxer Briefs"
16,"name","Shattered Stretch Boxer Briefs"
17,"name","Surf NASA Stretch Boxer Briefs"
18,"name","The Basilone - Shots Stretch Modal Boxer Briefs"
19,"name","Del Mar - Whiskey Cat Boxer Briefs"
2,"name","Del Mar Tiger Roses Boxer Briefs"
20,"name","The Wholester - Pueblo Boxer Briefs"
21,"name","The Wholester - Liner Boxer Briefs"
22,"name","Del Mar Boxer Briefs"
23,"name","Basilone Diamondhead Stretch Modal Boxer Briefs"
24,"name","The Wholester Boxer Briefs"
25,"name","The Wholester - J. Harden Boxer Briefs"
26,"name","Man Eater Stretch Boxer Briefs"
27,"name","Tiger Face Stretch Boxer Briefs"
28,"name","Alohas Stretch Boxer Briefs"
29,"name","'Platinum' Stretch Boxer Briefs"
3,"name","Visita Los Muertos Relaxed Fit Boxer Briefs"
30,"name","ID Stretch Cotton Trunks"
31,"name","BLACK Collection Trunks"
32,"name","Microfiber Hip Briefs"
33,"name","Air Icon Boxer Briefs"
34,"name","Intense Power Microfiber Low Rise Trunks"
35,"name","Cotton & Modal Boxers"
36,"name","Sliq Micro Trunks"
37,"name","Cool Cotton Trunks"
38,"name","Cotton Blend Trunks"
39,"name","ID Stretch Cotton Boxer Briefs"
4,"name","Basilone El Paso Boxer Briefs"
40,"name","Steel U2716 Microfiber Low Rise Trunks"
41,"name","Air Trunks"
42,"name","Air Boxer Briefs"
43,"name","Print Trunks"
44,"name","Cool Cotton Armory Boxer Briefs"
45,"name","Pima Cotton Contour Pouch Briefs"
46,"name","Signature Cotton & Modal Blend Trunks"
47,"name","Stretch Modal Boxer Briefs"
48,"name","Sliq Micro Briefs"
49,"name","Vibe Tagless Action Boxer Briefs"
5,"name","Delmar 1994 UW Boxer Briefs"
50,"name","Stretch Cotton Boxers"
51,"name","Cyclist Long Stretch Boxer Briefs"
52,"name","Modal Blend Trunks"
53,"name","The Basilone - Scuba Stretch Modal Boxer Briefs"
54,"name","Vibe Stretch Briefs"
55,"name","Stripe Boxer Briefs"
56,"name","'Steel - U2715' Microfiber Hip Briefs"
57,"name","Steel U2719 Microfiber Boxer Briefs"
58,"name","Print Stretch Cotton Briefs"
59,"name","Second Skin Titanium Trunks"
6,"name","Visita Rune Relaxed Fit Boxer Briefs"
60,"name","Cool Cotton Surf Stripe Trunks"
62,"name","'24' Stretch Cotton Blend Boxers"
63,"name","SeaCellÂ® Trunks"
64,"name","Stretch Cotton Boxer Briefs"
65,"name","Iron Strength Low Rise Trunks"
66,"name","'Second Skin' Square Cut Trunks"
67,"name","Air FX Low Rise Boxer Briefs"
68,"name","'Second Skin' Trunks"
69,"name","Stretch Cotton Boxer Briefs"
7,"name","Basilone Valentine Bones Boxer Briefs"
70,"name","Space Skaters Stretch Boxer Briefs"
71,"name","Panda Stretch Boxer Briefs"
72,"name","Bear Creek Stretch Boxer Briefs"
73,"name","Dirty Soda 2 Stretch Boxer Briefs"
74,"name","'Vibe' Stretch Boxer Briefs"
75,"name","'Vibe' Stretch Boxer Briefs"
76,"name","'Vibe' Stretch Boxer Briefs"
77,"name","Strike Boxer Briefs"
78,"name","'Cool Cotton' Boxer Briefs"
79,"name","Origins Low Rise Stretch Cotton Trunks"
8,"name","Mercato Flamingo Flowers Boxer Briefs"
80,"name","Stretch Cotton Trunks"
81,"name","Infrared Stretch Cotton Boxer Briefs"
82,"name","Heathered Stretch Cotton Boxer Briefs"
83,"name","Platinum Stretch Boxer Briefs"
84,"name","Vibe Stretch Boxer Briefs"
85,"name","Cypress Silk Boxers"
86,"name","Cool Cotton Boxer Briefs"
87,"name","ID Stretch Cotton Briefs"
88,"name","Stretch Cotton Trunks"
89,"name","Iron Strength Boxer Briefs"
9,"name","Wholester Geo Break Boxer Briefs"
90,"name","Vibe Stretch Trunks"
91,"name","Second Skin Titanium Briefs"
92,"name","'Electric' No-Show Trunks"
93,"name","Steel U2716 Microfiber Low Rise Trunks"
94,"name","Cool Cotton Armory Briefs"
